"headword","pos","dialect_id","jsonb_data"
"Ẹkwụkwọ mụoni bụ Jọn onye ichie deri, m na-edejeri nwanyị.Chineke họtarị yaa ụmụ a bụ nde m hụrụ na ẹnya na ime ya eziokwum, ka ọọbụnwa mụanịm kama maa ndem na ohu maarị nke bụ eziokwu hụkorụ unu na ẹnya.","sentence","6","{""source"": ""Ehugbo NT"", ""english_translation"": ""The elder, To the lady chosen by God and to her children, whom I love in the truth—and not I only, but also all who know the truth—"", ""type"": ""bible_verse"", ""license"": ""Apache-2.0"", ""origin"": ""Eze-Mbeyu, U. A., Eze-Mbeyu, U. C., & Anjuwon, O. (2025). 'E.hugbo Ka! Advancing Machine Translation for the Low-Resource E.hugbo Language through Parallel Corpus Development.' PMLR 302 (Deep Learning Indaba 2025). Dataset: HuggingFace Ukachi/NLP-Ehugbo (Apache-2.0)."", ""dialect_assigned_default"": false}"
"Maka ya eziokwum dị na ime obu aayị, ayịa ya je-anọgazukwenum rue mgbe agwụ-agwụ.","sentence","6","{""source"": ""Ehugbo NT"", ""english_translation"": ""because of the truth, which lives in us and will be with us forever:"", ""type"": ""bible_verse"", ""license"": ""Apache-2.0"", ""origin"": ""Eze-Mbeyu, U. A., Eze-Mbeyu, U. C., & Anjuwon, O. (2025). 'E.hugbo Ka! Advancing Machine Translation for the Low-Resource E.hugbo Language through Parallel Corpus Development.' PMLR 302 (Deep Learning Indaba 2025). Dataset: HuggingFace Ukachi/NLP-Ehugbo (Apache-2.0)."", ""dialect_assigned_default"": false}"
"Na ẹwụọma, ọhụhụ onyimee yaa udo nke Chineke Nna, yaa nke Jisọs Karaịs bụ Ọkpara Chineke dịrị ayị oohu bụ nde nọ na ya eziokwum yaa ịhụnẹnya.","sentence","6","{""source"": ""Ehugbo NT"", ""english_translation"": ""Grace, mercy and peace from God the Father and from Jesus Christ, the Father’s Son, will be with us in truth and love."", ""type"": ""bible_verse"", ""license"": ""Apache-2.0"", ""origin"": ""Eze-Mbeyu, U. A., Eze-Mbeyu, U. C., & Anjuwon, O. (2025). 'E.hugbo Ka! Advancing Machine Translation for the Low-Resource E.hugbo Language through Parallel Corpus Development.' PMLR 302 (Deep Learning Indaba 2025). Dataset: HuggingFace Ukachi/NLP-Ehugbo (Apache-2.0)."", ""dialect_assigned_default"": false}"
"Obu adiwo m ụto okam ịhụ ụfodị na ime ụmụ gụ na-ebu ndụ wo na ime ya eziokwum dịka nke Nna nịrị ayị na iwu.","sentence","6","{""source"": ""Ehugbo NT"", ""english_translation"": ""It has given me great joy to find some of your children walking in the truth, just as the Father commanded us."", ""type"": ""bible_verse"", ""license"": ""Apache-2.0"", ""origin"": ""Eze-Mbeyu, U. A., Eze-Mbeyu, U. C., & Anjuwon, O. (2025). 'E.hugbo Ka! Advancing Machine Translation for the Low-Resource E.hugbo Language through Parallel Corpus Development.' PMLR 302 (Deep Learning Indaba 2025). Dataset: HuggingFace Ukachi/NLP-Ehugbo (Apache-2.0)."", ""dialect_assigned_default"": false}"
"Ana m asị gị nwanyị ọma, na ayị hụtarị onwaayị na ẹnya. Ihie abụgụ iwu ohuụ m na-ederi unu, kama ọ bụm ihom ayị hiworuri nụ na isi mbụ mbụ.","sentence","6","{""source"": ""Ehugbo NT"", ""english_translation"": ""And now, dear lady, I am not writing you a new command but one we have had from the beginning. I ask that we love one another."", ""type"": ""bible_verse"", ""license"": ""Apache-2.0"", ""origin"": ""Eze-Mbeyu, U. A., Eze-Mbeyu, U. C., & Anjuwon, O. (2025). 'E.hugbo Ka! Advancing Machine Translation for the Low-Resource E.hugbo Language through Parallel Corpus Development.' PMLR 302 (Deep Learning Indaba 2025). Dataset: HuggingFace Ukachi/NLP-Ehugbo (Apache-2.0)."", ""dialect_assigned_default"": false}"
"Ihe bụ įhụ madụ ibe onye na ẹnya bụ iruberi iwu Chineke isi, dịka nke unu nụrụ na isi mbido, na iwu Chineke bụ na ayị weri ịhụ madụ ibe onye na ẹnya buje ndụ.","sentence","6","{""source"": ""Ehugbo NT"", ""english_translation"": ""And this is love: that we walk in obedience to his commands. As you have heard from the beginning, his command is that you walk in love."", ""type"": ""bible_verse"", ""license"": ""Apache-2.0"", ""origin"": ""Eze-Mbeyu, U. A., Eze-Mbeyu, U. C., & Anjuwon, O. (2025). 'E.hugbo Ka! Advancing Machine Translation for the Low-Resource E.hugbo Language through Parallel Corpus Development.' PMLR 302 (Deep Learning Indaba 2025). Dataset: HuggingFace Ukachi/NLP-Ehugbo (Apache-2.0)."", ""dialect_assigned_default"": false}"
"Ntụtụ nde na-arahu madụ, eekwetegi na Jisọs Karaịs bjarj dika madụ achįkarahiwo na ụwa, Onye dị ya ẹhụm bụ onye ụga na-arahu madụ bụkorụ ya onye-irom nke Karaịs.","sentence","6","{""source"": ""Ehugbo NT"", ""english_translation"": ""I say this because many deceivers, who do not acknowledge Jesus Christ as coming in the flesh, have gone out into the world. Any such person is the deceiver and the antichrist."", ""type"": ""bible_verse"", ""license"": ""Apache-2.0"", ""origin"": ""Eze-Mbeyu, U. A., Eze-Mbeyu, U. C., & Anjuwon, O. (2025). 'E.hugbo Ka! Advancing Machine Translation for the Low-Resource E.hugbo Language through Parallel Corpus Development.' PMLR 302 (Deep Learning Indaba 2025). Dataset: HuggingFace Ukachi/NLP-Ehugbo (Apache-2.0)."", ""dialect_assigned_default"": false}"
"Na ẹnya doe unu, na odikwa onye na ime uunu na-alohu ihe ọ rụtarị na ọrụ, kama na onyeaha natatuem ụgwọ-ọrụ a.","sentence","6","{""source"": ""Ehugbo NT"", ""english_translation"": ""Watch out that you do not lose what we have worked for, but that you may be rewarded fully."", ""type"": ""bible_verse"", ""license"": ""Apache-2.0"", ""origin"": ""Eze-Mbeyu, U. A., Eze-Mbeyu, U. C., & Anjuwon, O. (2025). 'E.hugbo Ka! Advancing Machine Translation for the Low-Resource E.hugbo Language through Parallel Corpus Development.' PMLR 302 (Deep Learning Indaba 2025). Dataset: HuggingFace Ukachi/NLP-Ehugbo (Apache-2.0)."", ""dialect_assigned_default"": false}"
"Onye gbanakọrụ ihom e ziri unu bayeri Karaịs gbajeje na ihu marị na yaa Chineke enwogu mmeko ọọbụla, ọbụ na onye jikoberi ya ihom e ziri e ẹka marị na yaa Chineke Nna yaa ọkpara a yịm.","sentence","6","{""source"": ""Ehugbo NT"", ""english_translation"": ""Anyone who runs ahead and does not continue in the teaching of Christ does not have God; whoever continues in the teaching has both the Father and the Son."", ""type"": ""bible_verse"", ""license"": ""Apache-2.0"", ""origin"": ""Eze-Mbeyu, U. A., Eze-Mbeyu, U. C., & Anjuwon, O. (2025). 'E.hugbo Ka! Advancing Machine Translation for the Low-Resource E.hugbo Language through Parallel Corpus Development.' PMLR 302 (Deep Learning Indaba 2025). Dataset: HuggingFace Ukachi/NLP-Ehugbo (Apache-2.0)."", ""dialect_assigned_default"": false}"
"Onye ọọbụla bịakwuteri unu ejigi ya ihe ozizim bayeri Karaụs, unu anabatakwa a na ulo uunu, unu eke- lekohekwee ye ekele amaka.","sentence","6","{""source"": ""Ehugbo NT"", ""english_translation"": ""If anyone comes to you and does not bring this teaching, do not take them into your house or welcome them."", ""type"": ""bible_verse"", ""license"": ""Apache-2.0"", ""origin"": ""Eze-Mbeyu, U. A., Eze-Mbeyu, U. C., & Anjuwon, O. (2025). 'E.hugbo Ka! Advancing Machine Translation for the Low-Resource E.hugbo Language through Parallel Corpus Development.' PMLR 302 (Deep Learning Indaba 2025). Dataset: HuggingFace Ukachi/NLP-Ehugbo (Apache-2.0)."", ""dialect_assigned_default"": false}"
