"headword","pos","dialect_id","jsonb_data"
"A","character","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""The first letter of the Hausa alphabet, written in the Latin script.""], ""parts_of_speech"": [""character""], ""ipa"": [], ""examples"": [], ""dialect_assigned_default"": true}"
"abada","adv","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""always""], ""parts_of_speech"": [""adv""], ""ipa"": [""/ʔà.bà.dâː/"", ""[ʔà.bə̀.dâː]""], ""examples"": [], ""dialect_assigned_default"": true}"
"Japan","name","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""Japan (a country in East Asia)""], ""parts_of_speech"": [""name""], ""ipa"": [""/(d)ʒà.pân/"", ""[d͡ʒə̀.pâŋ]""], ""examples"": [], ""dialect_assigned_default"": true}"
"ci","verb","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""to eat, to eat soft things""], ""parts_of_speech"": [""verb""], ""ipa"": [""/t͡ʃí/"", ""[t͡ʃɪ́]""], ""examples"": [], ""dialect_assigned_default"": true}"
"Pakistan","name","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""Pakistan (a country in South Asia)""], ""parts_of_speech"": [""name""], ""ipa"": [""/páː.kís.tàn/"", ""[páː.cɪ́s.tàŋ]""], ""examples"": [], ""dialect_assigned_default"": true}"
"sol","noun","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""very white""], ""parts_of_speech"": [""noun""], ""ipa"": [""/sól/"", ""[sɔ́l]""], ""examples"": [], ""dialect_assigned_default"": true}"
"malam","noun","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""mister, Mr.""], ""parts_of_speech"": [""noun""], ""ipa"": [""/máː.làm/"", ""[máː.làŋ]""], ""examples"": [], ""dialect_assigned_default"": true}"
"hole","verb","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""to relax, to enjoy oneself""], ""parts_of_speech"": [""verb""], ""ipa"": [""/hóː.lèː/"", ""[hóː.lèː]""], ""examples"": [], ""dialect_assigned_default"": true}"
"tutu","noun","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""poop""], ""parts_of_speech"": [""noun""], ""ipa"": [""/túː.tù/"", ""[túː.tɪ̀]""], ""examples"": [], ""dialect_assigned_default"": true}"
"bal","noun","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""ball""], ""parts_of_speech"": [""noun""], ""ipa"": [""/bâl/"", ""[bâl]""], ""examples"": [], ""dialect_assigned_default"": true}"
"bel","noun","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""belt"", ""seatbelt""], ""parts_of_speech"": [""noun""], ""ipa"": [""/bél/"", ""[bál]""], ""examples"": [], ""dialect_assigned_default"": true}"
"safe","adv","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""in the morning""], ""parts_of_speech"": [""adv""], ""ipa"": [""/sáː.fé/"", ""[sáː.ɸé]""], ""examples"": [], ""dialect_assigned_default"": true}"
"kurwa","noun","8","{""source"": ""Wiktionary Hausa"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""soul""], ""parts_of_speech"": [""noun""], ""ipa"": [""/kùɽ.wáː/"", ""[kʷʊ̀ɽ.wáː]""], ""examples"": [], ""dialect_assigned_default"": true}"
