"headword","pos","dialect_id","jsonb_data"
"A yi, a gamma, ta fi takamma, gobe a koma","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""To  do,  to  finish,  is  better  tliaii  \""don't  care,  come back  to-morrow.\"""", ""note"": ""Takamma,  swagger  :  it  comes  to  mean  here  not to  work  hard  so  as  to  show  independence  and disregard  for  authority. Never  put  off  till  to-morrow  what  you  can  do  to-day."", ""proverb_number"": 1, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Hakki da ka rena slii kan soni maka ido","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""The  grass  which  you  disregard  will  injure  your eye."", ""note"": ""Don't  forget  to  take  all  precautions. No  man  or  thing  is  too  insignificant  to  be  altogether disregarded."", ""proverb_number"": 2, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Maichi da uwa ba shi kuka'n soodi","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""He  who  eats  with  his  mother  will  not  have  to  ask for  the  soodi,  for  she  will  give  it  to  him  as a  matter  of  course."", ""note"": ""Soodi,  the  surplus  or  remainder  of  anything.  The usual  way  of  eating  is  for  every  one  to  dip  his hand  in  turn  into  a  calabash  until  the  food is  finished :  the  scrapings  are  the  soodi,  and this  the  child  of  the  house  would  naturally  get. Vide  70."", ""proverb_number"": 3, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Ba afafi giandumma ran taffia","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""The  day  of  starting  is  not  the  time  to  prepare  the giaiiditmma."", ""note"": ""Giandumma,  the  gourd  or  calabash  with  a  narrow neck,  which  all  carriers  use  for  water  on  a  march. Fafewa,  hollowing  out  the  pith  from  the  inside  of  the giandumma. Don't  leave  a  thinof  till  the  last  minute. [;  5  Rua  ba  su  yami  banza. Water  does  not  get  bitter  without  a  cause. There  is  reason  for  everything."", ""proverb_number"": 4, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Kadda gammu ya birkitchi maidemmi","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Don't    let    the   gammu   upset    the   carrier   of    a bundle  of  corn."", ""note"": ""Don't  let  the  gammu  become  so  big  that  it  even- tually gets  bigger  than  the  load  that  is  being carried. Don't  keep  on  giving  things  away  until  you  become the  poor  man  and  the  man  to  whom  you  give  the rich  one. Don't  keep  on  giving  your  subordinates  more  and  more power  until  at  length  they  are  more  powerful  than you  are. Gammu,  the  pad  the  carrier  puts  between  his  head and  his  load.  It  is  usually  a  small  cushion  stuffed with  chaff  or  cotton,  sometimes  merely  twisted grass."", ""proverb_number"": 6, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Yawa shi kan sa zarre ya ja duchi","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Quantity  makes  the  cotton  draw  a  stone. Unity  is  strength."", ""note"": """", ""proverb_number"": 7, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Makafo ya rassa ido, ya cbe ido na wari","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""The  blind  man  lacks  eyes,  he  says  eyes  stink."", ""note"": ""Na  might  perhaps  be  written  'na,  as  it  is  the abbreviation  of  yana,  tana,  tSrc,  or  rather  it is  more  usually  used  in  conjunction  with  a  per- sonal pronoun  than  by  itself. Sour  grapes."", ""proverb_number"": 8, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Maidoki ya koma kutarr","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""How  are  the  mighty  fallen."", ""note"": """", ""proverb_number"": 9, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Na dumka riga babu wuya, Avonda ya yanka","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""wuva  shi  sa  ma  kainshi."", ""note"": ""I  have  sewn  a  ricja  without  a  neck,  let  him  who cuts  a  neck  for  it  put  it  on. The  riga  is  a  shirt  with  a  hole  at  the  top  for  the head  to  be  put  through  :  if  made  without  this wuya  or  neck,  one  would  have  to  be  cut  before the  riga  could  be  put  on. If  the  cap  fits  put  it  on. 1 1   Ba  don   \""  riga'n  domin  \""  ba,  da  mutum  ya mutu  masiachi. If  it  were  not  for  rigcin  domin  a  man  (a  fellow) would  die  poor. Riga'n  domin,  because  of  some  one  else,  for  some one  else's  sake,  through  some  one  else's  in- fluence. Na  shigga  \""  riga'n  domin  \""  wuri'n  Abdu. I  got  it  through  Abdu."", ""proverb_number"": 10, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Ba na fassa randa'n daki ba, na waje ba ta","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""shio^o^a  ba."", ""note"": ""I  won't  break  the  randa  of  the  house  until  the one  outside  (new  one)  has  been  brought in. Don't  be  off  with  the  old  love  until  you  are  on  with the  new. This  might  very  well  be  said  to  a  guide,  who  asks  if he  may  go  when  the  village  to  which  he  is  guiding you  is  reached  :  meaning,  \""  I  can't  let  you  go  until I  get  another  guide,  for  otherwise  I  may  be  left without  any  one  at  all,\"" Randa,  a  big  water  jar  about  2  ft.  high,  which  always stands  in  the  \""  gidda  \"" :  it  is  too  big  to  be  con- veniently carried,  and  if  moved  when  full  would probably  break."", ""proverb_number"": 12, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
