"headword","pos","dialect_id","jsonb_data"
"dọònịdō","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""tug-of-war""], ""examples"": [], ""dialect_variants"": []}"
"-gba aka ọlū","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""be unemployed""], ""examples"": [], ""dialect_variants"": []}"
"-lo n’ife","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""be useful""], ""examples"": [], ""dialect_variants"": []}"
"-kponita","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""gather up""], ""examples"": [], ""dialect_variants"": []}"
"jùù","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""quiet""], ""examples"": [], ""dialect_variants"": []}"
"-fe","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""fly;"", ""sprinkle; cast; throw (especially many objects)""], ""examples"": [], ""dialect_variants"": []}"
"-dì ǹdìdì","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""be patient""], ""examples"": [], ""dialect_variants"": []}"
"chi èjiri","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""The day declines""], ""examples"": [], ""dialect_variants"": []}"
"òtò","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""trodden mud for building""], ""examples"": [], ""dialect_variants"": []}"
"akụ","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""palm kernel"", ""pubic hair""], ""examples"": [], ""dialect_variants"": []}"
"àkàrà","unknown","5","{""source"": ""IgboAPI"", ""definitions"": [""see akàlà""], ""examples"": [], ""dialect_variants"": []}"
"-da n’ọkụ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""warm (soup, etc.)""], ""examples"": [], ""dialect_variants"": []}"
"ji ābị","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""(Dioscorea praehensilis Benth.) yam cultivar which never grows to a very great size, of inferior quality""], ""examples"": [], ""dialect_variants"": []}"
"kọmkọm","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""an old type of money""], ""examples"": [], ""dialect_variants"": []}"
"mkpà akā","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""biceps""], ""examples"": [], ""dialect_variants"": []}"
"ile ọkū","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""flame; spark; hot part of fire""], ""examples"": [], ""dialect_variants"": []}"
"òpìà","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""matchet; sword; large knife""], ""examples"": [], ""dialect_variants"": []}"
"-ji eji","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""be ripe (especially of ùbe)""], ""examples"": [], ""dialect_variants"": []}"
"-takwosị","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""eat something unripe""], ""examples"": [], ""dialect_variants"": []}"
"-lụ ọlụ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""work""], ""examples"": [], ""dialect_variants"": []}"
"àfè ụlā","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""night-gown""], ""examples"": [], ""dialect_variants"": []}"
"-gbachi ùgòdì","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""turn the key""], ""examples"": [], ""dialect_variants"": []}"
"ọyà azịza","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""(literally swelling disease) used to describe diseases which are""], ""examples"": [], ""dialect_variants"": []}"
"nsansa mmīli","unknown","5","{""source"": ""IgboAPI"", ""definitions"": [""shower of rain; few drops of rain""], ""examples"": [], ""dialect_variants"": []}"
"òlụlụ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""working; constructing; making"", ""work; task; work to be done; working in my house""], ""examples"": [{""igbo"": ""Òlili nà òlụlû dì be m#"", ""english"": ""There is plenty of eating and working""}], ""dialect_variants"": []}"
"-gbasị ògbàdụ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""rub off grains from maize cob""], ""examples"": [], ""dialect_variants"": []}"
"ìnyàǹga","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""parade; bluff; showing-off""], ""examples"": [], ""dialect_variants"": []}"
"-nọ mmilī","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""(used with obì or ume) be fearful, worried""], ""examples"": [{""igbo"": ""Èri m jì nụ nà ụgbọ gbùlù mmadù n’ụzō Āba kà obī jì ànọ m#mmilī màkà nà nwụnyè m jēlụ ịzūta ife n’Àba akà ànatarọ"", ""english"": ""Since learning that somebody was killed by a lorry on the Aba road I have been worried, because my wife who is away in Aba to buy something has not returned""}], ""dialect_variants"": []}"
"nwunyē di","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""co-wife; ‘mate’""], ""examples"": [], ""dialect_variants"": []}"
"Ukò Chukwu","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""(Christian usage) minister; pastor; deacon; priest""], ""examples"": [], ""dialect_variants"": []}"
"okwu āsị","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""lie""], ""examples"": [{""igbo"": ""Okwu Chūkwu"", ""english"": ""Word of God; the Gospel; sermon""}], ""dialect_variants"": []}"
"-dà n’ụkwụ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""happen in one's presence""], ""examples"": [], ""dialect_variants"": []}"
"-ŋàghalị","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""shake (a container of liquid) around Shake the pot of medicine round so that the medicine in it may mix well"", ""roll about (as of a boat on water), swing here and there (intr.) is rolling about on the water like a boat?""], ""examples"": [{""igbo"": ""Ŋàghalịa ìtè ọgwù afù kà ọgwū dī n’imē ya wèlụ jezùe ọnū"", ""english"": ""Shake the pot of medicine round so that the medicine in it may mix well""}, {""igbo"": ""Nèe kà ụgbọ afū sì aŋàghalị n’enu mmīli"", ""english"": ""See how that boat is rolling about on the water""}, {""igbo"": ""Kèdu ǹkè ị nà-aŋàghalị kà ụgbọ?"", ""english"": ""Why are you rolling about like a boat?""}], ""dialect_variants"": []}"
