"headword","pos","dialect_id","jsonb_data"
"jíjí tí mo jí agbára olúwa ni oludande ni arugbo ojo ti kii togbe ti kii si sun ni ogo ni fun oru","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""positive"", ""split"": ""test"", ""dialect_assigned_default"": true}"
"Ọ̀pọ̀ ni ò mọ òun tó fa sábàbí tí ìran Fúlàní ṣe di eegun ẹja síwá lọ́rùn ní Nàìjíríà. #Darandaran #ItanFulani","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""negative"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"#iroyin, #yoruba, Owo ti te Rasaki to fi majele sinu amala to pa eeyan marun n'Ibokun… https://t.co/t5sD5bkG9I","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""negative"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"àlááfíà wa ò ní di fíafìa ẹní bá gbọ́n ì bá ṣàmí è mí ṣe áámí","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""positive"", ""split"": ""test"", ""dialect_assigned_default"": true}"
"@user @user- Ijọ́ wo ni àwọn akẹ́kọ̀ọ́ #university máa padà sí kíláàsì? Ọdún yìí mà ńtán lọ :( #Nigeria","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""neutral"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Kí ni èdè abínibí? Ipa kíni ó ń kó nínú ìdàgbàsókè àwùjọ? #MotherLanguageDay #Yoruba https://t.co/dFF66k398K","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""neutral"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Igi arère (òbéṣè lédèe Bìní) rè é, ǹjẹ́ ẹ mọ èso tí a fi ń ṣeré ọpọlọ kan báyìí tí ó ti ara igi yìí wá? #Yoruba https://t.co/YjK07baLsb","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""neutral"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Ta ló mọ oúnjẹ tí wọ́n npè ní """"""""""""""""ìgbalọ̀"""""""""""""""" ?","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""neutral"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"ọrọ̀ ajé ifẹ̀ ní àtijọ́ ilé ifẹ̀ dúró gẹ́gẹ́ bíi ìlú tí iṣẹ́ ọ̀gbín ti gbayì tó gbẹ̀yẹ ní àsìkò ọdún lọ sókè ifẹ̀ ṣe ọ̀gbìn igi ẹyìn ní jaburata orógbó gbígbìn ò gbẹ́yìn bí ó ti ṣe pàtàkì sí ọrọ̀ ajé wọn àwọn ohun ọ̀gbìn mú ìdàgbàsókè bá àwọn","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""positive"", ""split"": ""test"", ""dialect_assigned_default"": true}"
"#IboNijeria2015 """""""""""""""" @user Buruji ati Gbenga Daniels Awon ti won fee ta ile Yoruba fun Jonathan ni yen"""""""""""""""" Ademola Adejare","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""negative"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"èdè dùn ń jẹ lẹ́nu bí edé ìbà pèdèpèdè lédè yoòbá láti orí baba akéréfinúṣọgbọ́n tói délẹ̀","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""positive"", ""split"": ""test"", ""dialect_assigned_default"": true}"
"oto ni nan e gbe se tafin ko eko ni sin ko da bi tele toh oluwa yi o toju omo awa oluko yi nan","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""positive"", ""split"": ""test"", ""dialect_assigned_default"": true}"
"ìwọ lónìí ìwọ lánàá bí ẹkún apọkọjẹ","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""negative"", ""split"": ""test"", ""dialect_assigned_default"": true}"
"RT @user: @user. Beeni ore mi, meebi fun anfaani ara wa ati ojo iwaju ni.... O di dan dan ki a jo kopa ninu atunse yii","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""positive"", ""split"": ""validation"", ""dialect_assigned_default"": true}"
"ÀROKÒ / NON VERBAL COMMUNICATION Bí wọ́n bá gé ẹní díẹ̀, fi ráńṣẹ́ sí èèyàn, ó túnmọ̀ sí wípé ará ẹni tí a fi ẹní yìí ráńṣẹ́ sí wà lórí àìsàn. If a piece of mat is sent to someone, it means, the relative of the person is battling with a sickness.","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""negative"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"@user @user @user @user @user @user @user @user @user @user @user @user Ara idi ti o yẹ ki ama ni #TweetInYoruba. Sugbon eni ba ri aworan mo ohun ti a nso Ni afikun Twitter ogba abidi to ju ogóje lo. .","sentence","1","{""source"": ""NaijaSenti"", ""type"": ""tweet"", ""sentiment"": ""neutral"", ""split"": ""validation"", ""dialect_assigned_default"": true}"
