"headword","pos","dialect_id","jsonb_data"
"Ade","praise_poetry","1","{""source"": ""Oriki"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Adé, ọmọ ọlọ́lá, ọmọ akín, ọmọ a kì í bẹ̀rù ogun,\nAdé ọmọ ẹni tí ń jẹ́ kí ìdílé rẹ̀ láyọ̀,\nAdé ọmọ ẹni tí a fi adé ṣe ọlá, tí a fi ìtẹ́ dá ìtàn,\nAdé tí wọ́n bí láti inú ọlá àti ìyìn, láti inú ìran akíkanjú,\nAdé ọmọ aládé tí ń rìn bí ọba, tí ẹsẹ̀ rẹ̀ kì í tẹ ilẹ̀ ìtìjú,\nAdé, a kì í fi orí rẹ̀ tì lulẹ̀ níwájú ọ̀tá,\nAdé ọmọ tí ìyìn ń tẹ̀lé bí òjìji tí kì í kúrò lára ẹni."", ""meaning"": ""Child of royalty and bravery, born to carry the crown with honor"", ""category"": ""royalty"", ""keywords"": [""brave"", ""royal"", ""crown"", ""lineage""], ""gender"": ""male"", ""origin"": ""DARA praise dataset (project-owned), migrated from the Oríkì generator project's manual collection."", ""license"": ""CC BY-SA 4.0"", ""dialect_assigned_default"": true}"
"Tunde","praise_poetry","1","{""source"": ""Oriki"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Túndé, ọmọ tí a tún bí wá sínú ọlá ìdílé,\nTúndé, ọmọ ẹni tí ó padà wá gẹ́gẹ́ bí ìbùkún baba ńlá,\nTúndé tí ayé tún ṣí sílẹ̀ fún, tí ìdílé fi ayọ̀ pè lórúkọ,\nTúndé, a kì í fi ìpadàbọ̀ rẹ̀ ṣe àìmọwọ́mẹsẹ̀,\nTúndé ọmọ tí ẹ̀mí rẹ̀ jinlẹ̀ dé ibi tí ìran ti bẹ̀rẹ̀,\nTúndé, ọmọ tí ilé ń fi ìgbéyìn ọlá ṣe àmì rẹ̀."", ""meaning"": ""One who is reborn into honor, believed to carry a returning ancestral spirit"", ""category"": ""honor"", ""keywords"": [""rebirth"", ""honor"", ""ancestor"", ""lineage""], ""gender"": ""male"", ""origin"": ""DARA praise dataset (project-owned), migrated from the Oríkì generator project's manual collection."", ""license"": ""CC BY-SA 4.0"", ""dialect_assigned_default"": true}"
"Sade","praise_poetry","1","{""source"": ""Oriki"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Sadé, ọmọ ọlọ́lá, aya ọba tí ń tan ìmọ́lẹ̀,\nSadé, ọmọ tí a fi adé yí ká, tí ọlá jẹ́ ìbòrí rẹ̀,\nSadé, ẹwà rẹ̀ ń jó bí oòrùn àárọ̀ lórí omi Èkó,\nSadé, a kì í fi ọlá rẹ̀ pín sí ẹnikẹ́ni tí kò yẹ,\nSadé ọmọ tí gbogbo ọjọ́ rẹ̀ ń tan ìmọ́lẹ̀ sí ilé ìyá rẹ̀,\nSadé, ọmọ ọba tí ìgbéyìn rẹ̀ dání ọlá gbé."", ""meaning"": ""Princess who shines like light, carrying the dignity of royalty"", ""category"": ""royalty"", ""keywords"": [""queen"", ""light"", ""royalty"", ""grace""], ""gender"": ""female"", ""origin"": ""DARA praise dataset (project-owned), migrated from the Oríkì generator project's manual collection."", ""license"": ""CC BY-SA 4.0"", ""dialect_assigned_default"": true}"
"Kunle","praise_poetry","1","{""source"": ""Oriki"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Kúnlé, akin ọmọ jagunjagun tí ń gba ogun jà,\nKúnlé, ọmọ tí ilé kún fún ọlá nítorí wíwà rẹ̀,\nKúnlé, akin tí kì í fi ẹ̀yìn han ọ̀tá,\nKúnlé, ọmọ tí àpáta jẹ́ ọ̀rọ̀ rẹ̀, tí ìjà jẹ́ orin rẹ̀,\nKúnlé, a kì í dá a lójú láàrin àwọn akin ilẹ̀ Yorùbá,\nKúnlé ọmọ tí orúkọ rẹ̀ ń kún ilé ìdílé pẹ̀lú ìgbóhùnsáfẹ́fẹ́ ìṣẹ́gun."", ""meaning"": ""Brave warrior who fills the home with victory and honor"", ""category"": ""warrior"", ""keywords"": [""war"", ""strength"", ""victory"", ""home""], ""gender"": ""male"", ""origin"": ""DARA praise dataset (project-owned), migrated from the Oríkì generator project's manual collection."", ""license"": ""CC BY-SA 4.0"", ""dialect_assigned_default"": true}"
"Yemi","praise_poetry","1","{""source"": ""Oriki"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Yẹmi, ọmọ rere tí gbogbo ayé fẹ́,\nYẹmi, ọmọ tí ó yẹ ilé, tí ó yẹ orúkọ ìdílé,\nYẹmi, a kì í fi ìwà rere rẹ̀ pa mọ́ sí ẹnikẹ́ni,\nYẹmi, ọmọ tí àwọn àgbà ń fi ẹnu yìn, tí àwọn ọ̀dọ́ ń tẹ̀lé ìṣesí rẹ̀,\nYẹmi ọmọ tí ọ̀run yàn kí ó jẹ́ olólùfẹ́ ayé."", ""meaning"": ""Good, fitting child loved and honored by all who know them"", ""category"": ""virtue"", ""keywords"": [""kindness"", ""love"", ""character""], ""gender"": ""unisex"", ""origin"": ""DARA praise dataset (project-owned), migrated from the Oríkì generator project's manual collection."", ""license"": ""CC BY-SA 4.0"", ""dialect_assigned_default"": true}"
"Bola","praise_poetry","1","{""source"": ""Oriki"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Bọ́lá, ọmọ ọlọ́lá tí ń gbé adé ayé,\nBọ́lá, ọmọ tí ọrọ̀ àti ọlá jọ ń tọ̀ lé láti ìgbà ìbí,\nBọ́lá, a kì í fi ọlá rẹ̀ ṣe kékeré láàrin àwọn ẹgbẹ́ rẹ̀,\nBọ́lá, ọmọ tí ìlú ń wò pẹ̀lú ọ̀wọ̀ àti ìfẹ́,\nBọ́lá ọmọ tí ìran rẹ̀ kì í ṣubú sínú ipò kékeré."", ""meaning"": ""Child of wealth who carries the crown of a prosperous life"", ""category"": ""wealth"", ""keywords"": [""wealth"", ""crown"", ""prosperity""], ""gender"": ""female"", ""origin"": ""DARA praise dataset (project-owned), migrated from the Oríkì generator project's manual collection."", ""license"": ""CC BY-SA 4.0"", ""dialect_assigned_default"": true}"
"Femi","praise_poetry","1","{""source"": ""Oriki"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Fẹ́mi, ọmọ tí gbogbo ènìyàn fẹ́ràn,\nFẹ́mi, ọmọ ìfẹ́ tí kì í mọ ìkórìíra,\nFẹ́mi, a kì í fi í sílẹ̀ láàrin ìjọ ènìyàn láì kí i,\nFẹ́mi, ọmọ tí ọ̀rọ̀ rẹ̀ dùn bí oyin ní ẹnu àwọn tó bá pàdé rẹ̀,\nFẹ́mi ọmọ tí ìfẹ́ ilé ń tẹ̀lé ní ìgbésẹ̀ gbogbo."", ""meaning"": ""One loved by everyone, whose warmth draws people near"", ""category"": ""love"", ""keywords"": [""kindness"", ""people"", ""affection""], ""gender"": ""male"", ""origin"": ""DARA praise dataset (project-owned), migrated from the Oríkì generator project's manual collection."", ""license"": ""CC BY-SA 4.0"", ""dialect_assigned_default"": true}"
"Ayo","praise_poetry","1","{""source"": ""Oriki"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Ayọ̀, ọmọ ayọ̀ tí ń mú inú dùn,\nAyọ̀, ọmọ tí ẹ̀rín rẹ̀ ń pa ìbànújẹ́ ilé rẹ́,\nAyọ̀, a kì í fi ojú kanlẹ̀ pẹ́ láàrin àwọn ará ilé,\nAyọ̀, ọmọ tí wọ́n dárúkọ ní ọjọ́ tí ìdùnnú kún ilé,\nAyọ̀ ọmọ tí ìtura àti àlàáfíà jọ ń tẹ̀lé níbi gbogbo."", ""meaning"": ""Child of joy who brings happiness and peace wherever they go"", ""category"": ""joy"", ""keywords"": [""happiness"", ""peace"", ""laughter""], ""gender"": ""unisex"", ""origin"": ""DARA praise dataset (project-owned), migrated from the Oríkì generator project's manual collection."", ""license"": ""CC BY-SA 4.0"", ""dialect_assigned_default"": true}"
"Kemi","praise_poetry","1","{""source"": ""Oriki"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Kẹ́mi, ọmọ rere tí ń mú ìbùkún wá,\nKẹ́mi, ọmọ tí ọwọ́ rẹ̀ dá, tí ọ̀rọ̀ rẹ̀ ní ìwúwo rere,\nKẹ́mi, a kì í fojú fo ìran tí ó ti ọwọ́ Ọlọ́run wá,\nKẹ́mi, ọmọ tí ilé ń gbà pẹ̀lú ọwọ́ méjèèjì,\nKẹ́mi ọmọ tí ìbùkún ń tẹ̀lé láti ìgbà èwe títí di àgbà."", ""meaning"": ""Good child that brings blessings to the family and beyond"", ""category"": ""blessing"", ""keywords"": [""blessing"", ""goodness"", ""fortune""], ""gender"": ""female"", ""origin"": ""DARA praise dataset (project-owned), migrated from the Oríkì generator project's manual collection."", ""license"": ""CC BY-SA 4.0"", ""dialect_assigned_default"": true}"
"Segun","praise_poetry","1","{""source"": ""Oriki"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Ṣẹ́gun, akin tí ń ṣẹ́gun gbogbo ọ̀tá,\nṢẹ́gun, ọmọ tí ìṣẹ́gun jẹ́ orúkọ rẹ̀, tí ìjà kì í borí i,\nṢẹ́gun, a kì í dá a padà sẹ́yìn láàrin ìjà ayé,\nṢẹ́gun, ọmọ tí ọ̀tá ń bẹ̀rù, tí ọ̀rẹ́ ń gbé kalẹ̀,\nṢẹ́gun ọmọ tí orúkọ rẹ̀ jẹ́ ìkéde ìṣẹ́gun ayérayé."", ""meaning"": ""Warrior who conquers every enemy and never bows in defeat"", ""category"": ""warrior"", ""keywords"": [""victory"", ""strength"", ""triumph""], ""gender"": ""male"", ""origin"": ""DARA praise dataset (project-owned), migrated from the Oríkì generator project's manual collection."", ""license"": ""CC BY-SA 4.0"", ""dialect_assigned_default"": true}"
