"headword","pos","dialect_id","jsonb_data"
"Ya Kammala Ziyarar Yakin Neman Zabe A Jihar Kano","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Gabanin bayyana a dadalin taron , sai da shugaban ya bude wata gada da gwamnatin Kano ta gina a daf da Barikin sojoji na Bokavo kuma ya kai ziyarar neman tabarraki fadar mai martaba sarkin Kano Malam Muhamamdu Sanusi na biyu .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Dubbun dubatun mutane ne suka yi dafifi domin tarbar shugaban , sai dai a iya cewa taron ya saba da wadda aka saba gani a lokutan baya , inda Kano kan tsaya cik har sai shugaban ya kammala ziyara .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"A wannan karon jama'a da dama musamman a sassa daban daban na birnin Kano sun ci gaba da harkokin su .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Domin karin Bayani saurari rahoton Mahmud Ibrahim Kwari .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Lauyoyi Suna Fashin Baki A Kan Gurfanar Da Babban Alakali Gaban Kotu","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"A sharhin lauya mai zaman kan sa a Abuja , Yusuf Sallau Mutum Biyu yace girman matsayin alkalin zai zama kaskanci a gare shi da jami’an shari’a in an gurfanar da shi gaban kotu ta hanyar shigar da shi akwatin ba da shaida .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Mutum Biyu yace duk da a tsarin mulkin Najeriya babban alkalin ba shi da kariya kamar ta shugaban kasa da gwamnoni , amma ya na cikin tsarin doka a bi ta hannun hukumar kula da shari’a NJC ta binciki lamarin kafin daukar matakin gurfana gaban kotu .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Da ya ke amsa tambayar matakin da kotu zata dauka in babban alkalin ya ki gurfana gaban ta karo na biyu , Barista Yusuf Sallau ya ce kotu ka iya bada sammacin kamo wanda a ke tuhuma amma ya na ganin lamarin ba zai kai ga haka ba ga babban alkalin .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Wannan dai shi ne kusan karo na farko a Najeriya da a ke yunkurin gurfanar da babban alkali kuma shugaban kotun koli gaban kotu .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Ga rahoton Nasiru Adamu Elhikaya daga birnin Abuja :","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Najeriya Za Ta Hana Mutane Miliyan 47 Bahaya A Fili","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Ministan Ruwan Najeriya , Injiniya Suleiman Husaini Adamu , ya ce a halin yanzu akwai kimanin mutane miliyan 47 da su ke bahaya a filin Allah ta’ala , al’amarin da ya sa Najeriya ta zama kasa ta biyu a duk fadin duniya wajen wannan matsalar .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Ya bayyana hakan a gurin wani taro kan albarkatun ruwa da tsabtar muhalli .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"MInistan ruwan ya ce , Indiya tana da kimanin mutane miliyan 500 da su ke bahaya a fili , amma bisa kokarin da Firaiminstan Indiya ya yi cikin shekaru uku kacal an shawo kan matsalar da kashi cas’in a duk fadin kasar .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Mininstan ruwan yace mutanan Indiya sun yi bandaki sama da miliyan 80 , ya kuma kara da cewa idan har Indiya za ta iya hana Mutane miliyan 500 cikin shekaru uku to ba abinda zai hana Najeriya ta hana mutanenta miliyan 47 .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Sannan y ace don shawo kan wannan matsalar ya tura wasu jami’ai daga ma’aikatarsa da kuma wakilai daga jihohi zuwa Indiya don ganin yadda itama Najeriya zata dabbaka wannan tsarin yadda zai dace da ita .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"A halin da ake ciki yanzu , Najeriya ta na da kananan hukumomi 774 , daga cikinsu goma ne kacal inda ba a bahaya a fili .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Dr. Husaini Hassan , wanda kwararre ne kan muhalli ya ce za a iya cimma nasara idan aka maida hankali wajen fadakarwa da kuma bayyana wa jama’a illolin da ke tattare da aikata hakan .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Saurari cikakken rahoton Hassan Maina Kaina :","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"An Tabbatar Da Alkali Tanko Muhammed A Matsayin Babban Jojin Najeriya","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Majalissar Dattawan Najeriya ta tabbatar da Alkali Tanko Muhammed a matsayin babban alkalin alkalan Najeriya bayan da ya yi rikon kwaryar wannan mukamin kusan tsawon watanni shida .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"A yau Laraba , Majalisar ta tabbatar mai da mukamin .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"An haifi alkali Tanko Mohammed ranar 31 ga watan Disamba na shekarar 1953 a garin Doguwa da ke karamar hukumar Giade a jihar Bauchi a Arewacin Najeriya .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Ya yi makarantar gwamnati da ke Azare ta sakandare , kuma ya kammala a shekarar 1973 .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Sannan ya yi karatun digiri na farko a Jami'ar Ahmadu Bello da ke Zaria .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Daga baya ya yi karatun Majistrate a shekarar 1984 , da kuma digirin-digirgir duk a Jami'ar Ahmadu Bello a shekara 1998 .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Shugaba Buhari ya nada Justice Tanko a matsayin mai rikon kwarya a watan Janairu bayan da ya dakatar da tsohon Alkalin Alkalai Walter Onnoghen wanda aka zarge shi da boye kaddarorinsa .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Legas : Majalisar Dokoki Na Shirin Tsige Gwamna Ambode","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"A wani zama da ‘yan Majalisar Dokokin jihar suka gudanar ranar Litinin , akasarin ‘yan Majalisar sun bayyana bukatar tsige gwamnan da mataimakiyarsa da kuma daukar matakai na dakatar da wasu Kwamishinoni bisa zargin da ake musu na kasa gabatar da kasafin kudin bana akan lokaci .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Sai dai kakakin Majalisar Dokokin jihar Legas , Mudashiru Obasa , ya roki ‘yan Majalisar da su baiwa gwamnan Karin lokaci ko kuma damar gabatar da uzurin dake gabansa , domin jin dalilan da ya sa ya kasa gabatar da kasafin .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Wannan takun saka dai ya samo asali ne ana dab da fara zabe na fidda gwani na takarar mukamin gwamna a zaben da za gudanar a watan gobe .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Daukan wannan mataki na fara shirin tsige gwamman jihar Legas dai ya samo asali ne lokacin da mataimakin kakakin Majlisar Wasu Eshilokun Sanni , ya gabatarwa Majalisar wani rahoto wanda ke da nasaba da kasafin kudin .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Wakilin Muryar Amurka a Legas Babangida Jibrin ya ji mabanbantan ra’ayoyin wasu mazauna Legas kan wannan takaddamar dake faruwa .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Domin Karin bayani saurari rahotan Babangida Jibrin .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Zaben 2019 : Atiku Ya yi Alkawarin Ci Gaba Da Noman Rani A Jigawa","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Masu ruwa da tsaki da talakawa a jihar Jigawa na ci gaba da bayyana albarkacin bakin su dangane da alkawarin dan takarar shugabancin najeriya na Jam'iyyar PDP Alhaji Atiku Abubakar yayi na ci gaba da aikin samar da filin noman rani mai fadin fiye da kadada miliyan daya a jihar a lokacin daya kai ziyarar neman kuri'a jihar a litinin din","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
".","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Baya ga alkawarin bunkasa ayyukan noman rani wadda ke karkashin kulawar hukumar raya koramun Hadejia da Jamare da gwamnatin marigayi shugaba Shagari ta kammala kashin farko a shekarun 1980 , dantakarar na Jam'iyyar PDP yace zai sake gina hanyar mota daga Gaya zuwa Jahun zuwa Kafin Hausa ta bulle yankin Gashuwa a jihar Yobe , kana da wadda ta tashi daga kwanar Dumawa a jihar Kano zuwa Babura ta hade da Jamhuriyar Nijar .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Tsohon gwamnan Jigawa Alhaji Sule Lamido wanda ya jagoranci tawagar Atikun Zuwa Jigawan ya yi tanbihi game da wannan gagarumin aiki da cewa , adashen da zasu zuba ke","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"a matsayinsu na jiha da suke kyautata zaton dan takarar jam'iyar PDP zai cika .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Bayan maraba da wannan batu na raya noman rani da hanyoyi , talakawan na Jigawa na ne karin ababen habaka rayuwarsu da suka hada da ilimi da inganta rayuwar talakawa .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Shi kuwa a nasa bangaren , Hon Nasiru Garba Dantiye dake neman kujerar majalisar wakilan Najeriya daga mazabar Garki / Babura a jam'iyyar ta PDP yayi alkawarin taka rawar data kamata domin kwalliya ta biya kudin sabulu game da alkawuran da aka yiwa talakawa .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Saurari cikakken rahoton Mahmud Kwari","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"‘Yan Bindigar Katsina Sun Saki Mata 10 Da Wani Jinjiri","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"A cigaba da sasantawar da ake yi da ‘yan bindiga a jahar Katsina , wadanda su ka yi garkuwa da mutane da dama , sun sake sako mutane a karo na biyu .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Rukunin na 2 da ‘yan bindigar suka sako , sun kunshi mata 10 da wani jinjiri , wanda ya bada jimlar mutane 16 , idan aka hada da guda 5 da aka sako ranar Lahadin da ta gabata .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Wannan ya biyo bayan rangadin da gwamnan jihar Aminu Bello Masari ya kwashe tsawon mako daya ya na yi , domin tattaunawa da kuma yin sulhu da ‘yan bidigar da ke tada kayar baya a jihar , wadanda su ma aka saki mutanensu kusan 9 da ake tsare da su .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
"Ayyukan ‘yan tada kayar baya da suka hada da kai hare-hare , da kisan jama’a da ma sace su domin karbar kudin fansa , sun ta’azzara sosai a jihar Katsina , jim kadan bayan da rahotanni suka nuna cewa an soma samun zaman lafiya a makwabciyarta jihar Zamfara , sakamakon fito da tsarin sulhu da ‘yan tada kayar baya .","sentence","8","{""source"": ""VOA Hausa"", ""split"": ""train"", ""dialect_assigned_default"": true}"
