"headword","pos","dialect_id","jsonb_data"
"A","character","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""The first letter of the Yoruba alphabet, called á and written in the Latin script.""], ""parts_of_speech"": [""character""], ""ipa"": [""/a/"", ""/á/""], ""examples"": [], ""dialect_assigned_default"": true}"
"f","character","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""The sixth letter of the Yoruba alphabet, called fí and written in the Latin script.""], ""parts_of_speech"": [""character""], ""ipa"": [""/f/"", ""/fí/""], ""examples"": [], ""dialect_assigned_default"": true}"
"fa","verb","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""to pull"", ""to suck"", ""to subside, to reduce"", ""to draw, to sketch"", ""to become sluggish"", ""to be elastic, to be mucilaginous (as a soup or stew), to draw"", ""to crawl"", ""to cause, to bring about"", ""to long for"", ""to scrape or wipe off"", ""to shave""], ""parts_of_speech"": [""verb""], ""ipa"": [""/fà/"", ""/fá/""], ""examples"": [""mo fa aṣọ"", ""eéwó t'ó wú ti fà"", ""ó fa ìlà sórí ìwé"", ""ọ̀lẹ́ fà tìì lẹ́nu iṣẹ́"", ""ọbẹ̀ ewédú náàá fà"", ""bí ìgbín fà, ìkarahun á tẹ̀lé e"", ""ìyà púpọ̀ ni ó fa ẹkún"", ""ọkàn àwọn ọmọ́ fà mí"", ""alápatàá fá awọ náà"", ""mo fá irun abíyá""], ""dialect_assigned_default"": true}"
"y","character","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""The twenty-fifth letter of the Yoruba alphabet, called yí and written in the Latin script.""], ""parts_of_speech"": [""character""], ""ipa"": [""/j/"", ""/jí/""], ""examples"": [], ""dialect_assigned_default"": true}"
"de","verb","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""to tie down, to constrain"", ""to embroider"", ""to deputize, to hold a position for someone temporarily"", ""to await, to wait for"", ""to arrive"", ""to attain, to reach a particular point"", ""up to, as far as"", ""to cover, to wear a hat""], ""parts_of_speech"": [""verb"", ""prep""], ""ipa"": [""/dè/"", ""/dè/"", ""/dè/"", ""/dé/"", ""/dé/"", ""/dé/""], ""examples"": [""Mo dè é lọ́wọ́ àti lẹ́sẹ̀"", ""Mo de ọrùn aṣọ náà"", ""Ó ń de ipò fún mi"", ""Mo jókòó dè é"", ""A ti dé"", ""Ó gùn títí dé Èkó""], ""dialect_assigned_default"": true}"
"in","pron","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""him, her, it (third-person singular non-honorific object pronoun following a monosyllabic verb with a high-tone /ĩ/)"", ""him, her, it (third-person singular non-honorific object pronoun following a monosyllabic verb with a low- or mid-tone /ĩ/)"", ""you, alternative form of ẹ (“(second-person plural or honorific personal pronoun)”)""], ""parts_of_speech"": [""pron""], ""ipa"": [""/ĩ̄/"", ""/ĩ́/"", ""/ĩ̄/"", ""/ĩ́/"", ""/ĩ̀/""], ""examples"": [], ""dialect_assigned_default"": true}"
"o","character","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""The sixteenth letter of the Yoruba alphabet, called ó and written in the Latin script."", ""The name of the Latin script letter O/o."", ""you (second-person singular non-honorific personal pronoun)"", ""he/she/it (third-person singular non-honorific personal pronoun)"", ""him, her, it (third-person singular object pronoun following a monosyllabic verb with a high-tone /o/)"", ""him, her, it (third-person singular object pronoun following a monosyllabic verb with a low- or mid-tone /o/)"", ""Used at the end of sentences to emphasize a statement."", ""not (placed before a verb to negate it, frequently used after personal pronouns)"", ""alternative form of wò (“to look at”)""], ""parts_of_speech"": [""character"", ""noun"", ""pron"", ""intj"", ""particle"", ""verb""], ""ipa"": [""/ō/"", ""/ó/"", ""/ō/"", ""/ó/"", ""/ō/"", ""/ó/"", ""/ō/"", ""/ó/"", ""/ō/"", ""/ó/"", ""/ō/"", ""/ò/"", ""/ò/""], ""examples"": [""ẹ ṣeun o"", ""mò í ò ẹ""], ""dialect_assigned_default"": true}"
"i","character","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""The tenth letter of the Yoruba alphabet, called í and written in the Latin script."", ""The name of the Latin script letter I/i."", ""Used to express the progressive tense in negative constructions."", ""him, her, it (third-person singular non-honorific object pronoun following a monosyllabic verb with a high-tone /i/)"", ""him, her, it (third-person singular non-honorific object pronoun following a monosyllabic verb with a low- or mid-tone /i/)""], ""parts_of_speech"": [""character"", ""noun"", ""particle"", ""pron""], ""ipa"": [""/i/"", ""/í/"", ""/i/"", ""/í/"", ""/í/"", ""/ī/"", ""/í/"", ""/ī/"", ""/í/""], ""examples"": [], ""dialect_assigned_default"": true}"
"sun","verb","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""to sleep"", ""to roast"", ""to burn; to set on fire"", ""to trickle; to flow"", ""to cry"", ""to chant"", ""to aim; to target"", ""to shift; to move"", ""to nudge; to motivate"", ""to prick"", ""to make a complaint""], ""parts_of_speech"": [""verb""], ""ipa"": [""/sũ̀/"", ""/sũ̄/"", ""/sũ̄/"", ""/sũ̄/"", ""/sũ̀/"", ""/sṹ/"", ""/sũ̀/""], ""examples"": [""Mo sùn gbalaja"", ""Mo sun ẹran."", ""A máa ń sun òkú nínú àṣà tèmi."", ""Àwọn jagunjagun ya wọ̀lú, wọ́n sì dáná sun ojúbọ"", ""Wọ́n ń sun ẹkún níbi ìsìnkú"", ""Ọdẹ ni ó máa ń sun ìjálá, ìyàwó ni ó máa ń sun ẹkún-ìyàwó"", ""Ìyẹn ni mò ń fojú sùn lọ́dún tó ń bọ̀"", ""Sún mọ́ mi."", ""Pẹ̀lúmi fẹ́ sún ìpàdé síwájú"", ""Ó sún mi láti wọ́de"", ""Ẹ̀gún sún mi lọ́wọ́"", ""A ti fẹjọ́ yín sùn wọ́n""], ""dialect_assigned_default"": true}"
"are","noun","1","{""source"": ""Wiktionary Yoruba"", ""license"": ""CC BY-SA"", ""attribution"": ""Wiktionary via kaikki.org"", ""definitions"": [""vindication, justification; justice"", ""excuse, pardon"", ""alternative form of eré (“running, race”)"", ""alternative form of eré (“speed”)"", ""alternative form of eré (“play, pastime”)"", ""miserableness; the state of being miserable and aimless""], ""parts_of_speech"": [""noun""], ""ipa"": [""/à.ɾē/"", ""/ā.ɾé/"", ""/à.ɾē/""], ""examples"": [], ""dialect_assigned_default"": true}"
