"headword","pos","dialect_id","jsonb_data"
"Saki","praise_poetry","1","{""source"": ""Oriki (scraped)"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Saki Ile Ogun O Ro Kin\nAgbede ,O Ro Bata\nOke Gulutu ,Igbo Asabari\nAsabari O Ko Ija\nOlogun O Ni Kare\nTo Ba D'ojo Ere Kee Ranse ,\nP'ologun Saki Ni Ile Ogun O Ro Kin\nAgbede O Ro Baba\nGbe Do Gbe Do Le Gbe Agogo\nAlagbede O Lee R Ojugun\nSaki Nile Ara Ilagbede\nAgbede Faka, Fiki ,Lonaa Ti Ire, Ire Mogun\nAlagbede, Ki Le Te Owo Gbowo\nWon Ani E Da Sile ,E Maa Lo\nEji Gbojo, Ara Ilagbede\nOmo Awon Rin ,Tunrin ,Rorin\nBoo Ba Ba Won Fin Ina Won Ni Oseun,\nBoo Si Ba Won Fina Na Won Ni O Oseun\nFin Ina, Fin Na n Be Lenu\nAra Ba Tete D'Aye Omo Alagbede Ri N Ba Je\nMaa Du Loju ,Maa Dun Lenu ,Maa Sugbon ,\nIsale Mi Wowo ,Ri WO Wo Ri .\nAije Omo Alagbede Dun Mi .\nTiti Eji Gboro\nOmo Awon Irin\nTuniri Ro Irin.\nNile Alagbede Omo Ogun Oro Kini"", ""meaning"": """", ""category"": ""town"", ""subject_type"": ""town"", ""origin"": ""YorubaLibrary — https://www.yorubalibrary.com/culture/oriki_yoruba/oriki_for_towns/oriki_ilu_saki.html"", ""source_url"": ""https://www.yorubalibrary.com/culture/oriki_yoruba/oriki_for_towns/oriki_ilu_saki.html"", ""license"": ""scraped, no explicit licence — research use, attributed"", ""dialect_assigned_default"": false}"
"Iseyin","praise_poetry","1","{""source"": ""Oriki (scraped)"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Iseyin Oro, Omo Ebedi moko,\nNi bi ti ewe nje ariyeke,\nTi popo o nje belewo,\nTi igi nje oluwanran,\nTi agbado ojo nje t' opabodi.\nIlu ma gba fere,\nKii b' alejo nibi t' o tiwa,\nOsalasala ti f' owo alejo bomi,\nEyin gbo gambari, E gbo sokoto,\nE gbo 'Lorin, E gbo Oyo,\nE gbo 'Badan,\nSugbon e ko gbo,\nOhun ti ilu Mokin nwi\nBi e ba se gege ote,\nK' amu t'aseyin kuro,\nB'o ba d'ojo ere,\nKe ran ni s'ebedi moko\nEni ba nfe aso 'tata ti ile Yoruba,\neni ki won kori si Iseyin,\nNibi tin won ti nhun gida ninu Aso\nEdumare jowo bawa da ilu Iseyin si\nAmin, Ase"", ""meaning"": """", ""category"": ""town"", ""subject_type"": ""town"", ""origin"": ""YorubaLibrary — https://www.yorubalibrary.com/culture/oriki_yoruba/oriki_for_towns/oriki_ilu_iseyin.html"", ""source_url"": ""https://www.yorubalibrary.com/culture/oriki_yoruba/oriki_for_towns/oriki_ilu_iseyin.html"", ""license"": ""scraped, no explicit licence — research use, attributed"", ""dialect_assigned_default"": false}"
"Osogbo","praise_poetry","1","{""source"": ""Oriki (scraped)"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Osogbo Oroki Asala\nOsogbo ilu Aro, Aro dede bi Okun\nAre Op'eta, Are p'eta a gba\nOsogbo Oroki gbe Onile o tun gbe Ajeji\nOsogbo Oroki Omo yeye Osun\nYeye Atewogbeja Aniyun Labebe\nEleyele Aro, Olode Ega, Ega susu ni yara\nEwure Orangun ti n je lese Gbagede\nLese Gbagede ni ti ije\nAguntan Orangun nii je lese Yara\nAkuko gagara t'o rori Ope ree le tente\nNibe ni won ti n pe Alara tantan\nOgboju Obinrin tii fi owo gbogboro yo omo re lofin\nYeye Larooye t'o ti Ipole di onile losogbo\nYeye Timehin akikanju Ode t'o m'erin wa mo ilu Osogbo,\nOsogbo Oroki omo Olofin agba Ife\nOmo Owa Oluyeye, Omo Obokun\nOmo odo kan odo kan ti won n pe losun\nOmo atenigbola olodo ide\nOgun kan, Ogun kan ti won n ja loroki ile\nObinrin gbona, Okunrin ko gbodo koja\nBi Okorokoro ti n gba oko niju\nBee ni Ogbaagbaa n run bala bi ose\nOpo gbegiri l'osun fi segun Fulani\nOgun ko gbogbo jami, mo gbekeleOsun\nOroki tii ba Eja nla soro, tii ran iko ni'se\nOsun Osogbo rere ni'Osun funmi\nIre Owo, Ire Omo, Ire Aiku Baale Oro\nOsun t'ori ajigbara, leke o bawon ni orun gigun\nO'tori ide wewe o bawon lapa gbogboro\nB'oba wu agba Ijesha a san'so si bebere idi\nB'oba wu Morokahan a san'so Gbogbo lo itan\nOsogbo Oroki t'oni lakokan l'o ni Ohuntofo\nOun loni Ogidan tii fi Odo ide fo'gun\nOmo atupa merindinlogun tii tan loroki ile\nB'oba tan f'oba a tan f'osun\nA tun tan fun irunmole a tan f'eniyan\nOsogbo wumi ide ki n lo d'agbala osun\nNi bi ti won ti n re ro ti won tun ti n gundo ide,\nA kii b'omi s'ote, a kii b'omi s'ota\nOmi l'a buwe, omi la bu mu\nOre yeye Osun Osogbo o."", ""meaning"": """", ""category"": ""town"", ""subject_type"": ""town"", ""origin"": ""YorubaLibrary — https://www.yorubalibrary.com/culture/oriki_yoruba/oriki_for_towns/oriki_ilu_osogbo.html"", ""source_url"": ""https://www.yorubalibrary.com/culture/oriki_yoruba/oriki_for_towns/oriki_ilu_osogbo.html"", ""license"": ""scraped, no explicit licence — research use, attributed"", ""dialect_assigned_default"": false}"
"Ile-Ife","praise_poetry","1","{""source"": ""Oriki (scraped)"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Ife Ooye Lagbo\nOmo Olodo Kan Oteere\nOmo Olodo Kan Otaara\nOdo To San Wereke,To San Wereke\nTo Dehinkunle Oshinle To Dabata\nTo Dehinkunle Adelawe To Dokun\nOnikee Ko Gbodo Bu Mu\nAbabaja Won Ko Gbodo Buwe\nOgedegede Onisoboro Ni Yio Mu Omi Do Naa Gbe\nSoboro Mi Wumi, Eje Ki Ibi Dandan Maa Ba Alabe\nWon Kii Duro Ki Wa Nife Ooni, Won Kii Bere Ki Wa Nife Ooye\nKo Ga, Ko Bere Laa Ki Wa Nife Oodaye\nBi Won Ko Si Ki Wa Nife, Won Kii To Abere\nOju Bintin La Fi N Wo Ni\nEmi Wa Ki Oba Nife, Mo Lo Akun\nOba Nii Lo Sese Efun\nAdimula, Won A Ni Apalado\nBante Gbooro, Ni Mufe Wumi\nSegi Owo Ati Tese,\nKafari Apakan Ka Dapakan Si\nYeepa Orisa, Aso Funfun\nOun Nii Mu Ile Olufe Wumi\nApadari Eni, Apalado Eniyan\nEbo Ojoojumo, Nii Mu Ile Won Su Nii Lo\nAwa Lomo Oni Fitila Rebete\nIna Ko Nii Ku Nibe Tosan Toru\nIbe Ni Baba Wa Gbe N Ka Owo Eyo\nAwa Lomo Onilu Kan, Ilu Kan\nTi Won N Fawo Ekun Se\nAketepe Eti Erin Ni Won Fi Nse Osan Re\nOnikeke Ko Gbodo Jo\nAbabaja Ko Gbodo Yese\nKikida Onisoboro Ni Yio Jo Ilu Naa Ya\nOgun Ko See Da Gbe\nBaba Taani Ko Mo Wipe Irin Ti Po Lagbede\nOun Ti O Ba Mu Alagbede,\nKo Ni Mu Eni To N Fin Ina"", ""meaning"": ""Ife, land of Oòyè,\nChild of Olódòkan Òtẹ̀rẹ̀,\nChild of Olódòkan Òtáàrà,\nRiver that flows with winding bends,\nThat flows and reaches the courtyard of Òṣinlẹ̀,\nFlows and reaches the courtyard of Adélawẹ̀,\nThat flows and reaches the dwelling of Òníkẹ́ẹ̀.\nNo one must break the sacred calabash,\nNo one must split the sacred gourd.\nIt is the Onísoboro who draws water,\nSoboro water refreshes me.\nLet hardship not befall the people of Àlàbẹ̀.\nThey do not stand without loving the Ọọ̀ni,\nThey do not begin without loving Oòyè.\nOòyè is lofty, yet still beloved.\nEven if they are absent, love for Oòyè remains.\nThey do not thread the needle with half an eye,\nIt is with full sight they behold me.\nI salute the King of Ife.\nI go with the royal chalk, and with the sacred white powder of Àdìmúlà.\nThey say: \""Apàlàdò, broad and mighty,\""\nIn Ife I drink from the beaded cup,\nWith bracelets of hand and foot.\nHalf is woven, half is tied,\nDedicated to the multitude of Òrìṣà.\nWhite cloth adorns the land of lovers,\nIt refreshes the leader of men.\nDaily sacrifices sustain the land,\nWe are children of the lamp,\nThe flame never dies there, day or night.\nThere our fathers lived,\nCounting cowries in abundance.\nWe are children of the drummers,\nThe single drum that makes the leopard dance.\nThe elephant's ear is the mat they spread at noon.\nThe Oníkẹ́kẹ́ must not break the calabash,\nMust not scatter the sacred beads.\nIt is the Onísoboro who beats the drum,\nThe war cannot be undone.\nFather Tààní knows that iron is plentiful,\nAnd that whoever seizes the blacksmith's iron,\nCannot seize the one who kindles the fire."", ""category"": ""town"", ""subject_type"": ""town"", ""origin"": ""HabaNaija — https://www.habanaija.com/oriki-ile-ife/"", ""source_url"": ""https://www.habanaija.com/oriki-ile-ife/"", ""license"": ""scraped, no explicit licence — research use, attributed"", ""dialect_assigned_default"": false}"
"Ijesa","praise_poetry","1","{""source"": ""Oriki (scraped)"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Ijesha o sere o nile obi.\nOmo eleni ateeka\nOmo eleni ewele.\nEmi o Lee ki agba Ijesha\nKi Edumare bawa da Iran Ijesha si."", ""meaning"": ""The Ijesha do not play in the house of the kola nut. (middle portion of translation not recoverable from source extraction) May the Almighty (Olodumare) preserve the lineage of Ijesha."", ""category"": ""town"", ""subject_type"": ""town"", ""origin"": ""HabaNaija — https://www.habanaija.com/oriki-ijesa-meaning-praise-poetry/"", ""source_url"": ""https://www.habanaija.com/oriki-ijesa-meaning-praise-poetry/"", ""license"": ""scraped, no explicit licence — research use, attributed"", ""dialect_assigned_default"": false}"
"Iree","praise_poetry","1","{""source"": ""Oriki (scraped)"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Iree Oye, Iree Alalubosa\nOro Iree Kii Rin Are Lo Nsa\nIree Oye, Itake Ola\nIkomi Oge Omo Oyeniran\nIkomi Oge Omo Laro, Omo Arolu,\nOmo Oyekun, Omo Akoiisa\nTa Lo So Pe Onipee Ko Lomi\nTa Lo So Pe Onipee Ko Lodo\nAfelele Lomi, Aro Pekun Ni Pee\nAro Pekun Lomi Ayaba Ni Pee\nTa Lo So Pe Aree Ko Lomi\nTa Lo So Pe Aree Ko Lodo\nAkeepa Lomi Isun, Yoko Lomi Amu\nN Ho Lo Ile Ma Lo Bu Abo Mu\nMa Bu Odo Oke San Ese\nAra Jobaji, Agbara Nlelegbo N We\nTi Won Ba We Asa, Asa A Sa Won Lojugun.\nYoko Ngbe Komi Oge Bo Wa Isale\nAilu Semi Komi Oge Ma Je Nba\nAlagba Lugbo Mi Lo.\nIkomi Oge, Ara Jobaji, Ara Ilegudu,\nIlegudu Ayabu Ero,\nAra Ori Oke, Ara Ori Ipoole\nOmo Efon To Ro Iwo Ide\nKomi Oge, Ara Ope Aanu\nJobaji, Omo Omi Kikun Ti Nta Si Ayaba Laso,\nKomi Oge Ti N We Lodo Ti Gbogbo\nOmoge Nyo Owo Ose Ti Won So\nWipe Bi Eleyi Ko Ba Je Oko Eni\nAsi Je Ale Eni\nKomi Oge, Omo Oyeniran,\nKomi Oge Lomo Onirinwo Adie\nTi Gbogbo Won Ngbe Kekeke Lori Eyin,\nEyin Lomo Obinrin Jowu Ore Re\nTi O Nba Ewu Jowu Loko\nKomi Igbati O Mo Wipe O Ma Jowu\nKi Lo Mu Mi Wa Se Loko;\nAra Jobaji Mo Gbele Huwo\nKomi Oge Mo Gbele Hu Segi,\nMo Kakuro Iyun Niran,\nMo Gbele Hu Segi, Segi Mi Dudu Janjan.\nKomi Oge, Omo Abowo Sirimusirimu,\nKomi Lomo Okunkun Sirimusirimu\nOkunkun Lowon, Owo Mi Ko Won\nNi Igbo Nla, Ara Ori Oke,\nAra Ori Ipole, Ara Ope Aanu.\nKomi Oge Omo Ari Igba Nla Bu Owo Fun Ayaba!\nAra Jobaji, Ti Mo Ba Ki Yin Titi\nTi Mo Ba Sin Yin Titi N Ho Pada\nLegudu, Eyin Lomo Ajoji Ki Ba\nWon Degbo Okuja, Ajoji To Ba\nWo Igbo Okuja O Deran Ebo Ni Iree\nOye Nile Omi Ru De!\nKomi Oge Omo Onipe"", ""meaning"": ""Iree Oye, Iree of onions and wealth,\nThat never walks in vain.\nIree Oye, source of honor,\nChild of Oyeniran, descendant of Laro,\nOffspring of Arolu, child of Oyekun,\nDescendant of Akoiisa.\nWho says the spring has no water?\nWho says the spring has no river?\nThe spring flows abundantly,\nThe stream never ceases.\nWho says the queen has no water?\nWho says the queen has no river?\nThe queen's stream flows endlessly.\nThe fountain flows, the stream gushes,\nThe calabash floats downstream,\nWhile the clay pot drifts to the riverbank.\nThe power of Jobaji,\nThe strength of Nlelegbo,\nWhen they wash with tradition,\nTradition protects them for generations.\nThe calabash carries honor downstream,\nThe lineage of Oyeniran endures.\nDescendants of Jobaji, of Ilegudu,\nOf the mountain top, of Ipoole,\nChildren of Efon who wear brass ornaments.\nDescendants of flowing water,\nWhose daughters are adorned in fine cloth,\nWhose maidens wash at the river,\nAnd whose beauty makes men desire them.\nKomi Oge, child of Oyeniran,\nChild of countless hens,\nWhose eggs are carried gently.\nWomen envy their peers,\nYet now they must share husbands.\nJobaji's descendants,\nI adorn myself with coral,\nI wear black beads shining brightly.\nKomi Oge, child of mystery,\nDark and radiant,\nMy hands reach into the great forest,\nFrom the mountain top, from Ipoole,\nFrom the grove of mercy.\nKomi Oge, child of abundance,\nWho gives wealth to the queen.\nJobaji's descendants,\nIf I praise you endlessly,\nI will return to Ilegudu.\nForeigners who enter the forest of Okuja,\nWill meet sacrifices at Iree Oye,\nLand of flowing waters!"", ""category"": ""town"", ""subject_type"": ""town"", ""origin"": ""HabaNaija — https://www.habanaija.com/oriki-iree-traditional-yoruba-praise-poetry/"", ""source_url"": ""https://www.habanaija.com/oriki-iree-traditional-yoruba-praise-poetry/"", ""license"": ""scraped, no explicit licence — research use, attributed"", ""dialect_assigned_default"": false}"
"Ede","praise_poetry","1","{""source"": ""Oriki (scraped)"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Ede Mapo Arogun\nEyin Omo aji lala oso\nOmo aji soso\nOmo aji f'ojo gbogbo dara bi egbin,\nEde omo elepo rede,\nOmo ewa a dodo,\nEyin lomo arohanran,\nOmo aje n ju,\nEyin lomo agbale gbira to l'ede ile,\nEyin lomo alapo ti'emi ti'emi,\nEyin lomo arogun ma fi t'ibon se,\nEde ilu timi Olofa ina."", ""meaning"": ""Ede of Mapo, the fearless warrior. Descendants who rise with speed (translation incomplete in source extraction) - celebrating the town's prosperity, agricultural heritage, warrior traditions, ancestry, wealth, and the significance of Timi leadership."", ""category"": ""town"", ""subject_type"": ""town"", ""origin"": ""HabaNaija — https://www.habanaija.com/oriki-ede-the-praise-poetry-history-and-cultural-identity/"", ""source_url"": ""https://www.habanaija.com/oriki-ede-the-praise-poetry-history-and-cultural-identity/"", ""license"": ""scraped, no explicit licence — research use, attributed"", ""dialect_assigned_default"": false}"
"Ijebu","praise_poetry","1","{""source"": ""Oriki (scraped)"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Ijebu omo alare,\nomo awujale,\nomo arojo joye,\nomo'alagemo ogun woyowoyo,\nOmo aladiye ogogomoga,\nomo adiye balokun omilili,\nara orokun, ara o radiye,\nomo ohun seni oyoyonyo,\noyoyo mayomo ohun seni olepani,\nomo dudu ile komobe se njosi,\npupa tomo be se okuku sinle,\nomo moreye mamaroko,\nmorokotan eye matilo,\nomo moni isunle mamalobe,\nobe tin benile komoile baba tobiwan lomo,\nOmo onigbo ma'de,\nomo'onigbo mawo mawo,\nomo onigbo ajoji magbodowo,\najoji tobawo gboro yio di ebora ile baba tobi wan lomo.\nIjebu omo ere niwa,\nomo olowo isembaye,\ntowo kuji to dode, koto dowo eru,\nkoto dowo omo.\nOrisa jendabi onile yi,\nniwan finpe igba ijebu owo,\nkelebe ijebu owo, ito ijebu owo,\ndudu ijebu owo, pupa ijebu owo,\nkekere ijebu owo, agba ijebu owo.\nIjebu ode ijebu ni,\nijebu igbo ijebu ni, ijebu isara ijebu ni,\nayepe ijebu, ikorodu ijebu ijebu noni,\nIjebu Omo Oni Ile nla,\nIjebu Omo Alaso nla!\nAjuwaase ooo"", ""meaning"": ""Child of Ijebu, descendant of Alare,\nChild of the Awujale (the king of Ijebu),\nChild of one who deliberates before taking a title,\nChild of the keeper of the sacred Agemo festival, with its countless masquerades.\nChild of the owner of countless hens, and of the hen that lays eggs by the seashore,\nNative of Orokun, native of Oradiye.\nChild of one whose possessions are plentiful,\nWhose wealth brings joy,\nChild of one whose riches cannot be hidden.\nChild of the black soil where the hoe strikes and food grows,\nChild of the red earth where the rooster scratches the ground.\nChild of one who owns many birds,\nWhose birds never wander away,\nChild of one who owns abundant soup,\nSoup so plentiful it fills the house,\nChild of the great father whose children are many.\nChild of the forest owner who wears the crown, the forest owner who commands respect, and child of the forest owner who forbids strangers from cutting wood,\nFor if strangers cut wood carelessly,\nThe land of the great father will rise in wrath.\nIjebu, child of playfulness and merriment,\nChild of wealth that never diminishes,\nWhose money flows like a river,\nEnough to buy slaves, enough to raise children.\nThe deity Jendabi is the guardian of this land,\nTo whom the people dedicate their offerings:\nCowries of Ijebu wealth, small cowries of Ijebu wealth,\nWhite cowries of Ijebu wealth, Black cowries of Ijebu wealth,\nRed cowries of Ijebu wealth, Little cowries of Ijebu wealth, Great cowries of Ijebu wealth.\nIjebu of the town, Ijebu of the forest, Isara, Ayepe, Ikorodu, all are Ijebu.\nIjebu, child of the great house, and child of the great cloth!\nAjuwaase ooo! (A blessing chant, meaning \""May it be fulfilled!\"")"", ""category"": ""town"", ""subject_type"": ""town"", ""origin"": ""HabaNaija — https://www.habanaija.com/oriki-ijebu-meaning-history-praise-poetry/"", ""source_url"": ""https://www.habanaija.com/oriki-ijebu-meaning-history-praise-poetry/"", ""license"": ""scraped, no explicit licence — research use, attributed"", ""dialect_assigned_default"": false}"
"Oyo","praise_poetry","1","{""source"": ""Oriki (scraped)"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Oyo omo Alaafin\nOjo pa sekere mode omo atiba\nO b'olowo wipe k'o gb'owo\nO si n ba iwofa wipe k'o ju eru sile\nAse k'o le baa di'ja\nKo le baa di aapon\nK'omo oba le ri je nibe\nOyo l'o gbin agbado oran\nS'ehinkule elehinkule\nElehinkule ko gbodo yaa je\nBeeni ko si gbodo tu u danu\nOmo iku ti'ku ko le pa, Omo arun t'arun ko le gbe de\nOmo ofo, t'ofo ko le se"", ""meaning"": ""Oyo, child of Alaafin Ojo who played sekere in the marketplace, child of Atiba.\nHe tells the wealthy to spend their wealth,\nHe tells the bonded servant to cast off slavery.\nSo that battles may be fought, contests may be joined,\nSo that the prince may find sustenance there.\nOyo is the one who plants maize of destiny,\nBehind every household,\nNo household must neglect it,\nNor must it be discarded carelessly.\nChild of death whom death cannot kill, of sickness whom sickness cannot overcome,\nChild of loss whom loss cannot destroy."", ""category"": ""town"", ""subject_type"": ""town"", ""origin"": ""HabaNaija — https://www.habanaija.com/oriki-oyo/"", ""source_url"": ""https://www.habanaija.com/oriki-oyo/"", ""license"": ""scraped, no explicit licence — research use, attributed"", ""dialect_assigned_default"": false}"
"Iwo","praise_poetry","1","{""source"": ""Oriki (scraped)"", ""genre"": ""praise_poetry"", ""language"": ""yoruba"", ""praise_text"": ""Iwo olodo oba, omo ateni gbola, teni gbore nile odidere\nOmo oba to lu gberin afiporo je omo to lu gberin gberin\nIwo ti ko nilekun beni koni kokoro, Eru wewe ni won fi n dele\nEru ko gbodo je m'ogberin, Iwofa ko gbodo je mogbede\nOmo bibi inun won ni je m'oderin\nBi wo kola biwo kolowo lowo, eru ti n se mi ni rami ta mi to mi ni temi o jare\nIwo lomo Olola ti n san keke, Iwo lomo oloola ti n bu abaja\nAgbere ni wa won ki gbowo Ila lowo awa\nEyin lomo ara eru ke omo, omo ara eru bere eni\nOmo araya le ki omo tode. Iwo ilu Alfa\nIwo todidere pepepe tenure te k'oroyin.\nEdumare Bawa Da Ilu Iwo Si\nAmin, Ase."", ""meaning"": """", ""category"": ""town"", ""subject_type"": ""town"", ""origin"": ""HabaNaija — https://www.habanaija.com/oriki-iwo-eulogy-to-the-people-of-iwo/"", ""source_url"": ""https://www.habanaija.com/oriki-iwo-eulogy-to-the-people-of-iwo/"", ""license"": ""scraped, no explicit licence — research use, attributed"", ""dialect_assigned_default"": false}"
