"headword","pos","dialect_id","jsonb_data"
"Íwà","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""cassava"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Ézízá","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""broom"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Méé","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""blood"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Uwèyè","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""cloth"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Nrí","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""food"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"N'ibom","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""that place"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Nkata","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""basket"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Mkpúmé","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""stone"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Ikpanyi","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""spoon"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Áhíkéré","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""groundnut"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
