En, Ib
"The elder, To the lady chosen by God and to her children, whom I love in the truth—and not I only, but also all who know the truth—","Ẹkwụkwọ mụoni bụ Jọn onye ichie deri, m na-edejeri nwanyị.Chineke họtarị yaa ụmụ a bụ nde m hụrụ na ẹnya na ime ya eziokwum, ka ọọbụnwa mụanịm kama maa ndem na ohu maarị nke bụ eziokwu hụkorụ unu na ẹnya."
"because of the truth, which lives in us and will be with us forever:","Maka ya eziokwum dị na ime obu aayị, ayịa ya je-anọgazukwenum rue mgbe agwụ-agwụ."
"Grace, mercy and peace from God the Father and from Jesus Christ, the Father’s Son, will be with us in truth and love.","Na ẹwụọma, ọhụhụ onyimee yaa udo nke Chineke Nna, yaa nke Jisọs Karaịs bụ Ọkpara Chineke dịrị ayị oohu bụ nde nọ na ya eziokwum yaa ịhụnẹnya."
"It has given me great joy to find some of your children walking in the truth, just as the Father commanded us.",Obu adiwo m ụto okam ịhụ ụfodị na ime ụmụ gụ na-ebu ndụ wo na ime ya eziokwum dịka nke Nna nịrị ayị na iwu.
"And now, dear lady, I am not writing you a new command but one we have had from the beginning. I ask that we love one another.","Ana m asị gị nwanyị ọma, na ayị hụtarị onwaayị na ẹnya. Ihie abụgụ iwu ohuụ m na-ederi unu, kama ọ bụm ihom ayị hiworuri nụ na isi mbụ mbụ."
"And this is love: that we walk in obedience to his commands. As you have heard from the beginning, his command is that you walk in love.","Ihe bụ įhụ madụ ibe onye na ẹnya bụ iruberi iwu Chineke isi, dịka nke unu nụrụ na isi mbido, na iwu Chineke bụ na ayị weri ịhụ madụ ibe onye na ẹnya buje ndụ."
"I say this because many deceivers, who do not acknowledge Jesus Christ as coming in the flesh, have gone out into the world. Any such person is the deceiver and the antichrist.","Ntụtụ nde na-arahu madụ, eekwetegi na Jisọs Karaịs bjarj dika madụ achįkarahiwo na ụwa, Onye dị ya ẹhụm bụ onye ụga na-arahu madụ bụkorụ ya onye-irom nke Karaịs."
"Watch out that you do not lose what we have worked for, but that you may be rewarded fully.","Na ẹnya doe unu, na odikwa onye na ime uunu na-alohu ihe ọ rụtarị na ọrụ, kama na onyeaha natatuem ụgwọ-ọrụ a."
 Anyone who runs ahead and does not continue in the teaching of Christ does not have God; whoever continues in the teaching has both the Father and the Son.,"Onye gbanakọrụ ihom e ziri unu bayeri Karaịs gbajeje na ihu marị na yaa Chineke enwogu mmeko ọọbụla, ọbụ na onye jikoberi ya ihom e ziri e ẹka marị na yaa Chineke Nna yaa ọkpara a yịm."
"If anyone comes to you and does not bring this teaching, do not take them into your house or welcome them.","Onye ọọbụla bịakwuteri unu ejigi ya ihe ozizim bayeri Karaụs, unu anabatakwa a na ulo uunu, unu eke- lekohekwee ye ekele amaka."
Anyone who welcomes them shares in their wicked work.,Onye nabatarị onye dị ya ẹhụm marị na o je-osoko keteko oke ọrụ ụrụalị a.
"I have much to write to you, but I do not want to use paper and ink. Instead, I hope to visit you and talk with you face to face, so that our joy may be complete.","Akam nwom ntụtụ ihe m je-karị unu, ọ bụ na achogu m na mụ agbaa ya na ẹkwụkwo. Kama enworu m olile-ẹnya ịkpakwute unu na mụa unu kpaa ya ihu la ihu ma obu dịkọta ayị oohu ụtọ."
"The children of your sister, who is chosen by God, send their greetings.","ụmụ nwane gi nwanyị bụ nzuko nke ụmụ Chineke, ndem Chineke họtarị ahọta na ibie nọm na-ekele gi."
"That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked at and our hands have touched—this we proclaim concerning the Word of life.",Ozi aayị bụ bayeri ya Okwu nke ndụ m hiri na isi mbụ mbụ dị. Ayị anụwo e na ntị aayị. Ayị ahụwo e na ẹnya aayị ẹbọ ẹbọ. Ayị edetuwokoe ẹka.
