id,name,gender,language,praise_text,meaning,category,keywords
1,Chinedu,male,igbo,Nwa amadi ike di n’aka onye siri ike,Strong child with power in his hands,strength,power;strength
2,Ada,female,igbo,Ada mara mma nwaanyị eji eje mba,Beautiful daughter admired everywhere,beauty,beauty;grace
3,Obinna,male,igbo,Nwa nke nna ya ji eme ọnụ,Child that brings pride to the father,honor,pride;family
4,Ifeoma,female,igbo,Ifeoma nwa ọma nwa amara na ịhụnanya Ifeoma onye juputara n’ịhụnanya na ebere nwa nne ji obi ya kpọrọ ihe nwa a mụrụ ka ọ bụrụ ngọzi n’ụlọ Ifeoma nke obi ọma na-akpali ndị ọzọ onye na-eweta udo na obi ụtọ ebe ọ bụla ọ gara nwa mara mma nke na-enwu dịka anyanwụ Ifeoma onye a na-eto n’ihi àgwà ọma ya onye nwere obi ebere na ịdị umeala n’obi nwa nke chi ya na-eche nche onye na-ebute ọganihu na ezinụlọ ya Ifeoma nwa dị nsọ nke na-efegharị ịhụnanya n’ụwa onye na-adịgide n’ọma na ịdị mma nwa nke a na-echekwa nke ọma onye na-eme ka obi dị ndị mmadụ ụtọ,Good child filled with love and kindness,kindness,love;peace;blessing
5,Emeka,male,igbo,Nwa nwere nnukwu ihe chi nyere ya,Child destined for greatness,destiny,success;greatness
6,Ngozi,female,igbo,Nwa ngọzi jupụtara n’ụzọ ọma,Child of blessings,blessing,blessing;favor
7,Kelechi,unisex,igbo,Onye chi nyere ike na ndu,One blessed with strength by God,spiritual,God;strength
8,Uche,unisex,igbo,Nwa nwere uche miri emi,Wise child with deep thinking,wisdom,wisdom;mind
9,Amaka,female,igbo,Nwa mara mma nke ọma,Beautiful and admirable child,beauty,beauty;elegance
10,Ifeanyi,male,igbo,Onye chi nwere ihe ya,Nothing is impossible with God,faith,God;faith
